"","hd","tot_vol","jam","jam_pa","reach","med_dia","med_len"
"1",0,0.0306239733465513,"","no_jam",1,0.0914806043581549,4.65922417399394
"2",10,1.26218718542744,"","no_jam",1,0.26608952523042,9.15223813035358
"3",30,0,"","no_jam",1,NA,NA
"4",40,0.436548015274985,"","no_jam",1,0.216084146844272,5.64255569553473
"5",50,1.0973274358053,"JA","jam",1,0.0681028537538362,3.8483540714075
"6",60,0,"","no_jam",1,NA,NA
"7",70,1.15443910118542,"","no_jam",1,0.138464933187547,8.54987478817919
"8",80,5.77661261623522,"","no_jam",1,0.262211028272554,8.42584864705224
"9",90,0.0475713449595692,"","no_jam",1,0.0407665413348949,2.63066165108569
"10",100,1.01418564135273,"","no_jam",1,0.294707982756981,14.867699568861
"11",110,0.00399248249836204,"","no_jam",1,0.0431751249460645,2.72700499562641
"12",120,0,"","no_jam",1,NA,NA
"13",130,0,"","no_jam",1,NA,NA
"14",140,3.13317896363446,"JC","jam",1,0.107787298320973,3.70910732078799
"15",150,0.0372027655736153,"","no_jam",1,0.152217592838537,2.04435185536681
"16",160,0.0157372178637122,"","no_jam",1,0.0514412935144636,7.5720646733438
"17",170,0.102650253704269,"","no_jam",1,0.0717575771318051,3.87030308417075
"18",180,1.33970428796975,"","no_jam",1,0.337073171509754,7.74861274990099
"19",190,0,"","no_jam",1,NA,NA
"20",200,0.286900040435969,"JD","jam",1,0.138102383457048,2.86749912012112
"21",210,3.27139521559238,"JD","jam",1,0.131581041720155,7.90802001258817
"22",220,0.884449766482665,"","no_jam",1,0.161043673962915,11.5260918474054
"23",230,0.517093957735915,"","no_jam",1,0.335017404166129,3.28320816862032
"24",250,0.614778518519635,"","no_jam",1,0.285128949729711,9.62822374306431
"25",260,0.711633508410251,"","no_jam",1,0.138211048071096,8.12289407713368
"26",270,1.87286846711284,"","no_jam",1,0.5476636960552,3.47663696020925
"27",280,19.2805754313644,"JE","jam",1,0.191680112442145,4.17182336516886
"28",285,0.134416001263023,"","no_jam",1,0.0427494466178793,2.7099778624824
"29",290,0.762852843287251,"","no_jam",1,0.536921697057575,3.36921697020882
"30",300,0,"","no_jam",1,NA,NA
"31",310,0.919759858689781,"","no_jam",1,0.256342940356991,8.90857350840088
"32",320,3.64937160272523,"","no_jam",1,0.464331597147299,9.45171548578588
"33",330,0.942033091389268,"","no_jam",1,0.426790095188971,6.58487618907666
"34",340,1.44356831875379,"","no_jam",1,0.132800576290828,7.57504051032204
"35",350,0.0203703504622511,"","no_jam",1,0.0129089284394992,1.51635713418342
"36",360,0.403954090394567,"","no_jam",1,0.0878245460547413,2.28836535622626
"37",370,0,"","no_jam",1,NA,NA
"38",380,0.273668054465461,"","no_jam",1,0.277023537421911,4.54047074821995
"39",390,1.69050678114231,"JF","jam",1,0.04845879299598,2.93835171782909
"40",400,25.2076385439755,"JG","jam",1,0.160819599427955,5.30474873152639
"41",420,0.362788859465767,"","no_jam",1,0.166489198172165,2.32978396217495
"42",440,0.330370869473658,"","no_jam",1,0.236002410002387,3.72004819943976
"43",450,0,"","no_jam",1,NA,NA
"44",460,0.0206968563162321,"","no_jam",1,0.129079994598182,1.5815998903399
"45",470,0,"","no_jam",1,NA,NA
"46",480,1.83733663371289,"","no_jam",1,0.16550120447968,6.63753011037801
"47",490,0,"","no_jam",1,NA,NA
"48",500,0.10008299279961,"","no_jam",1,0.0313456611346612,6.567283053369
"49",510,0.0722609345817591,"","no_jam",1,0.0296846407470298,6.48423203390604
"50",520,5.82596407686667,"JH","jam",1,0.163390031525252,11.7920007254639
"51",540,0.741325148977835,"","no_jam",1,0.259719327624538,13.9929831901301
"52",550,2.25135442276216,"","no_jam",1,0.0200435795573076,1.801743179174
"53",560,0,"","no_jam",1,NA,NA
"54",570,0.695033160939563,"","no_jam",1,0.176144917218686,5.71302986730864
"55",580,0.133684623116856,"","no_jam",1,0.165000429886838,2.30000859645426
"56",590,0.150196393232258,"","no_jam",1,0.132925478964762,10.8231369721142
"57",600,0,"","no_jam",1,NA,NA
"58",610,1.10450070020647,"","no_jam",1,0.595956310376459,3.95956310353049
"59",620,0.252046559691917,"","no_jam",1,0.216123196641012,3.32246393202341
