,Converted book data,,,,,,,,,,,Values,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Conversion key:,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Converted values,,,,,,,,,,,,,,,
,,,,,,,,,,,,,D,,L,A,,,,,,,,,,,,
,,,,,,,,,,,,Book code,(m),,(m),(#),,,,,,,,,,,,
,,,,,,,,,,,,<1,0.05,,0.5,-,,,,,,,,,,,,
,Total LWD (m3):,#VALUE!,,,,,,,,,,1,0.10,,3.0,2.0,,,,,,,,,,,,
,,,,,,,,,,,,2,0.20,,7.5,2.5,,,,,,,,,,,,
,,,,,,,,,,,,3,0.55,,12.5,5.0,,,,,,,,,,,,
,,,,,,,,,,,,4,1.00,,17.5,10.0,,,,,,,,,,,,
,,,,,,,,,,,,5,1.50,,20.0,15.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Converted values,,,,,,,,,,,,,,,,
Orig,Corrected,,,,,,,,,,Notes,D,L,Vol,A,Vol,,,,,,,,,,,,
HD (m),HD (m),D,L,A,O,W,Position,Height,Function,Jam,LWD ALSO @,(m),(m),(m^3),(#),(m^3),,,,,,,,,,,,
0.0,0.0,1,1,1,2,,,,,,,0.1,3.0,0.0,1.5,0.01,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,10.0,2,2,2,2,,1,5,"U, L",,,0.2,7.5,0.2,2.5,0.59,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,30.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.0,40.0,2,2,1,1,,2,1,U,,,0.2,7.5,0.2,1.5,0.35,,,,,,,,,,,,
,,2,1,1,1,,2,1,U,,,0.2,3.0,0.1,1.5,0.14,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0,50.0,1,1,3,2,,1,1,"U, L",JA,,0.1,3.0,0.0,5.0,0.05,,,,,,,,,,,,
,,3,2,1,3,,2,1,,JA,,0.5,7.5,1.5,1.5,2.21,,,,,,,,,,,,
,,1,3,2,2,,1,1,,JA,,0.1,12.5,0.0,2.5,0.10,,,,,,,,,,,,
,,1,1,3,1,,,,,JA,,0.1,3.0,0.0,5.0,0.05,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.0,60.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70.0,70.0,1,2,2,2,,,,,,,0.1,7.5,0.0,2.5,0.06,,,,,,,,,,,,
,,2,2,2,2,,,,"U,L",,,0.2,7.5,0.2,2.5,0.59,,,,,,,,,,,,
80.0,80.0,2,2,3,1,,1,1,U,,,0.2,7.5,0.2,5.0,1.18,,,,,,,,,,,,
,,3,2,1,3,,1,1,,JB,,0.5,7.5,1.5,1.5,2.21,,,,,,,,,,,,
,,3,2,2,3,,,,"P, U",JB,,0.5,7.5,1.5,2.5,3.68,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90.0,90.0,1,1,3,1,,,,,,,0.1,3.0,0.0,5.0,0.05,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100.0,100.0,2,3,1,3,,2,1,,,,0.2,12.5,0.4,1.5,0.59,,,,,,,,,,,,
,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
110.0,110.0,1,1,1,2,,1,1,,,,0.1,3.0,0.0,1.5,0.01,,,,,,,,,,,,
,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120.0,120.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
130.0,130.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140.0,140.0,3,1,1,2,,1,1,U,JC,,0.5,3.0,0.6,1.5,0.88,,,,,,,,,,,,
,,1,1,3,2,,,,L,JC,,0.1,3.0,0.0,5.0,0.05,,,,,,,,,,,,
,,2,1,3,2,,,,L,JC,,0.2,3.0,0.1,5.0,0.47,,,,,,,,,,,,
,,3,2,1,2,1,,,"U, L",JC,,0.5,7.5,1.5,1.5,2.21,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150.0,150.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,2,1,1,2,,,,L,,,0.2,3.0,0.1,1.5,0.14,,,,,,,,,,,,
160.0,160.0,0,0,0,,,,,O,,,,,,,,,,,,,,,,,,,
