Converted book data,,,,,,,,,,,Values,,,,,,,,,,,,,,,,
,,,,,,,,,,,Conversion key:,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Converted values,,,,,,,,,,,,,,,
,,,,,,,,,,,,D,,L,A,,,,,,,,,,,,
,,,,,,,,,,,Book code,(m),,(m),(#),,,,,,,,,,,,
,,,,,,,,,,,<1,0.05,,0.5,-,,,,,,,,,,,,
Total LWD (m3):,18.97,,,,,,,,,,1,0.10,,3.0,2.0,,,,,,,,,,,,
,,,,,,,,,,,2,0.20,,7.5,2.5,,,,,,,,,,,,
,,,,,,,,,,,3,0.55,,12.5,5.0,,,,,,,,,,,,
,,,,,,,,,,,4,1.00,,17.5,10.0,,,,,,,,,,,,
,,,,,,,,,,,5,1.50,,20.0,15.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Converted values,,,,,,,,,,,,,,,,
Corrected,,,,,,,,,,Notes,D,L,Vol,A,Vol,,,,,,,,,,,,
HD (m),D,L,A,O,W,Position,Height,Function,Jam,LWD ALSO @,(m),(m),(m^3),(#),(m^3),,,,,,,,,,,,
534.0,0,0,0,,,,,,,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
514.0,0,0,0,,,,,,,0,,,,,,,,,,,,,,,,,
494.0,0,0,0,,,,,,,0,,,,,,,,,,,,,,,,,
474.0,0,0,0,,,,,,,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
454.0,0,0,0,,,,,,,0,,,,,,,,,,,,,,,,,
,2,2,1,1,1,,,,,0,0.2,7.5,0.2,1.5,0.35,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
434.0,0,0,0,,,,,,,0,,,,,,,,,,,,,,,,,
,2,2,2,2, ,,,,,0,0.2,7.5,0.2,2.5,0.59,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
414.0,0,0,0,,,,,,,0,,,,,,,,,,,,,,,,,
,1,2,1,2,,1,1,,,0,0.1,7.5,0.0,1.5,0.03,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
394.0,0,0,0,,,,,,,0,,,,,,,,,,,,,,,,,
,2,2,1,1,,,,,,0,0.2,7.5,0.2,1.5,0.35,,,,,,,,,,,,
374.0,0,0,0,,,,,,,0,,,,,,,,,,,,,,,,,
,2,2,1,1,,,,,,0,0.2,7.5,0.2,1.5,0.35,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
334.0,0,0,0,,,,,,,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
314.0,0,0,0,,,,,,,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
294.0,0,0,0,,,,,,,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
254.0,2,1,5,2,,,,,,0,0.2,3.0,0.1,15.0,1.41,,,,,,,,,,,,
,2,2,3,1,,,,,,0,0.2,7.5,0.2,5.0,1.18,,,,,,,,,,,,
,3,1,3,1,,,,,,0,0.5,3.0,0.6,5.0,2.95,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
234.0,0,0,0,,,,,,,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
214.0,0,0,0,,,,,,,0,,,,,,,,,,,,,,,,,
,2,1,2,1,,,,,,0,0.2,3.0,0.1,2.5,0.24,,,,,,,,,,,,
194.0,0,0,0,,,,,,,0,,,,,,,,,,,,,,,,,
,3,2,1,1,,,,"U, L",,0,0.5,7.5,1.5,1.5,2.21,,,,,,,,,,,,
174.0,0,0,0,,,,,,,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
154.0,2,2,1,1,1,,,"U, L",,0,0.2,7.5,0.2,1.5,0.35,,,,,,,,,,,,
,3,2,1,1,1,,,"U, L",,0,0.5,7.5,1.5,1.5,2.21,,,,,,,,,,,,
,2,2,1,2,,,,"U, L",,0,0.2,7.5,0.2,1.5,0.35,,,,,,,,,,,,
134.0,0,0,0,,,,,,,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
114.0,0,0,0,,,,,,,0,,,,,,,,,,,,,,,,,
,1,1,2,3,,1,1,,,0,0.1,3.0,0.0,2.5,0.02,,,,,,,,,,,,
,1,2,3,1,,,,,,0,0.1,7.5,0.0,5.0,0.12,,,,,,,,,,,,
94.0,1,1,1,1,,,,,,0,0.1,3.0,0.0,1.5,0.01,,,,,,,,,,,,
,0,0,0,,,,,,,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
